player_id,player_name,player_url,player_category,Season,Age,Squad,Country,Competition,LgRank,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Matches
2c21645e,Matthieu Hucliez,https://fbref.com/en/players/2c21645e/Matthieu-Hucliez,HU,3 Seasons,1 Club,,1 League,,2,2,180,2.0,,,,,,0,0,2,0,0.0,0,0,0,0,,,
b19228db,David Hughes,https://fbref.com/en/players/b19228db/David-Hughes,HU,2014-2015,21,East Thurrock United FC,ENG,FA Cup,85th,1,1,90,1.0,,,,0,,0,0,1,0,0.0,0,0,0,0,,Matches
b19228db,David Hughes,https://fbref.com/en/players/b19228db/David-Hughes,HU,1 Season,1 Club,,1 League,,1,1,90,1.0,,,,0,,0,0,1,0,0.0,0,0,0,0,,,
ba422940,Allan Hunou,https://fbref.com/en/players/ba422940/Allan-Hunou,HU,2019-2020,23,Saint-Pryve Saint-Hilaire FC,FRA,Coupe de France,17th,2,1,171,1.9,,,,,,1,0,0,1,100.0,1,1,0,0,0.0,Matches
ba422940,Allan Hunou,https://fbref.com/en/players/ba422940/Allan-Hunou,HU,2023-2024,27,Aviron Bayonnais FC,FRA,Coupe de France,Rd7,1,1,90,1.0,,,,,,0,0,1,0,0.0,0,0,0,0,,Matches
ba422940,Allan Hunou,https://fbref.com/en/players/ba422940/Allan-Hunou,HU,4 Seasons,3 Clubs,,1 League,,3,2,261,2.9,,,,,,1,0,1,1,50.0,1,1,0,0,0.0,,
ba422940,Allan Hunou,https://fbref.com/en/players/ba422940/Allan-Hunou,HU,Saint-Pryve Saint-Hilaire FC (1 Season),,1 League,,2,1,171,1.9,,,,,,1,0,0,1,100.0,1,1,0,0,0.0,,,
ba422940,Allan Hunou,https://fbref.com/en/players/ba422940/Allan-Hunou,HU,Aviron Bayonnais FC (1 Season),,1 League,,1,1,90,1.0,,,,,,0,0,1,0,0.0,0,0,0,0,,,,
e6a0fe52,Adem Husejnović,https://fbref.com/en/players/e6a0fe52/Adem-Husejnovic,HU,2021-2022,21,FC Mulhouse,FRA,Coupe de France,Rd8,1,0,1,0.0,,,,,,0,0,0,0,,1,1,0,0,0.0,Matches
e6a0fe52,Adem Husejnović,https://fbref.com/en/players/e6a0fe52/Adem-Husejnovic,HU,1 Season,1 Club,,1 League,,1,0,1,0.0,,,,,,0,0,0,0,,1,1,0,0,0.0,,
781fe6b4,Safet Husić,https://fbref.com/en/players/781fe6b4/Safet-Husic,HU,2022-2023,23,FV Engers 07,GER,DFB-Pokal,R64,1,1,90,1.0,7,7.00,14,7,50.0,0,0,1,0,0.0,0,0,0,0,,Matches
781fe6b4,Safet Husić,https://fbref.com/en/players/781fe6b4/Safet-Husic,HU,2 Seasons,1 Club,,1 League,,1,1,90,1.0,7,7.00,14,7,50.0,0,0,1,0,0.0,0,0,0,0,,,
9aefe6d7,Florian Husson,https://fbref.com/en/players/9aefe6d7/Florian-Husson,HU,2017-2018,21,Épernay,FRA,Coupe de France,109th,1,1,90,1.0,,,,0,,0,0,1,0,0.0,0,0,0,0,,Matches
9aefe6d7,Florian Husson,https://fbref.com/en/players/9aefe6d7/Florian-Husson,HU,2 Seasons,1 Club,,1 League,,1,1,90,1.0,,,,0,,0,0,1,0,0.0,0,0,0,0,,,
